arm,bench,seed,rule,r,thr,tp,fp,fn,tn,recall,specificity,balanced_accuracy,precision,f1,nec,auc,ap,pauc95,r_test,r_val,T,T_at_bound
arm0,1,0,0.5,1,0.5,225,1790,1,2889,0.995575221238938,0.6174396238512503,0.8065074225450941,0.11166253101736973,0.20080321285140562,0.3651376146788991,0.917336829781721,0.36376368695068834,0.6620562218309259,20.70353982300885,3.4,0.01000000469331702,True
arm0,1,0,0.5,2,0.5,225,1790,1,2889,0.995575221238938,0.6174396238512503,0.8065074225450941,0.11166253101736973,0.20080321285140562,0.34924965893587995,0.917336829781721,0.36376368695068834,0.6620562218309259,20.70353982300885,3.4,0.01000000469331702,True
arm0,1,0,0.5,5,0.5,225,1790,1,2889,0.995575221238938,0.6174396238512503,0.8065074225450941,0.11166253101736973,0.20080321285140562,0.3090032707867103,0.917336829781721,0.36376368695068834,0.6620562218309259,20.70353982300885,3.4,0.01000000469331702,True
arm0,1,0,0.5,10,0.5,225,1790,1,2889,0.995575221238938,0.6174396238512503,0.8065074225450941,0.11166253101736973,0.20080321285140562,0.2594033722438392,0.917336829781721,0.36376368695068834,0.6620562218309259,20.70353982300885,3.4,0.01000000469331702,True
arm0,1,0,0.5,20,0.5,225,1790,1,2889,0.995575221238938,0.6174396238512503,0.8065074225450941,0.11166253101736973,0.20080321285140562,0.19676051744754863,0.917336829781721,0.36376368695068834,0.6620562218309259,20.70353982300885,3.4,0.01000000469331702,True
arm0,1,0,0.5,50,0.5,225,1790,1,2889,0.995575221238938,0.6174396238512503,0.8065074225450941,0.11166253101736973,0.20080321285140562,0.1151511358658239,0.917336829781721,0.36376368695068834,0.6620562218309259,20.70353982300885,3.4,0.01000000469331702,True
arm0,1,0,0.5,100,0.5,225,1790,1,2889,0.995575221238938,0.6174396238512503,0.8065074225450941,0.11166253101736973,0.20080321285140562,0.06928406466512702,0.917336829781721,0.36376368695068834,0.6620562218309259,20.70353982300885,3.4,0.01000000469331702,True
arm0,1,0,0.5,200,0.5,225,1790,1,2889,0.995575221238938,0.6174396238512503,0.8065074225450941,0.11166253101736973,0.20080321285140562,0.03989654965015337,0.917336829781721,0.36376368695068834,0.6620562218309259,20.70353982300885,3.4,0.01000000469331702,True
arm0,1,0,val-Youden,1,0.5016333998748503,225,1790,1,2889,0.995575221238938,0.6174396238512503,0.8065074225450941,0.11166253101736973,0.20080321285140562,0.3651376146788991,0.917336829781721,0.36376368695068834,0.6620562218309259,20.70353982300885,3.4,0.01000000469331702,True
arm0,1,0,val-Youden,2,0.5016333998748503,225,1790,1,2889,0.995575221238938,0.6174396238512503,0.8065074225450941,0.11166253101736973,0.20080321285140562,0.34924965893587995,0.917336829781721,0.36376368695068834,0.6620562218309259,20.70353982300885,3.4,0.01000000469331702,True
arm0,1,0,val-Youden,5,0.5016333998748503,225,1790,1,2889,0.995575221238938,0.6174396238512503,0.8065074225450941,0.11166253101736973,0.20080321285140562,0.3090032707867103,0.917336829781721,0.36376368695068834,0.6620562218309259,20.70353982300885,3.4,0.01000000469331702,True
arm0,1,0,val-Youden,10,0.5016333998748503,225,1790,1,2889,0.995575221238938,0.6174396238512503,0.8065074225450941,0.11166253101736973,0.20080321285140562,0.2594033722438392,0.917336829781721,0.36376368695068834,0.6620562218309259,20.70353982300885,3.4,0.01000000469331702,True
arm0,1,0,val-Youden,20,0.5016333998748503,225,1790,1,2889,0.995575221238938,0.6174396238512503,0.8065074225450941,0.11166253101736973,0.20080321285140562,0.19676051744754863,0.917336829781721,0.36376368695068834,0.6620562218309259,20.70353982300885,3.4,0.01000000469331702,True
arm0,1,0,val-Youden,50,0.5016333998748503,225,1790,1,2889,0.995575221238938,0.6174396238512503,0.8065074225450941,0.11166253101736973,0.20080321285140562,0.1151511358658239,0.917336829781721,0.36376368695068834,0.6620562218309259,20.70353982300885,3.4,0.01000000469331702,True
arm0,1,0,val-Youden,100,0.5016333998748503,225,1790,1,2889,0.995575221238938,0.6174396238512503,0.8065074225450941,0.11166253101736973,0.20080321285140562,0.06928406466512702,0.917336829781721,0.36376368695068834,0.6620562218309259,20.70353982300885,3.4,0.01000000469331702,True
