arm,bench,n,rule,thr_prob,r,tp,tp_std,fp,fp_std,fn,fn_std,tn,tn_std,balanced_accuracy,balanced_accuracy_std,precision,precision_std,recall,recall_std,specificity,specificity_std,f1,f1_std,auc,auc_std,ap,ap_std,false_alarms,false_alarms_std,infer_ms_per_clip,infer_ms_per_clip_std,infer_s,infer_s_std,params,params_std
arm0,b1,1,p=0.5,0.5,nan,225.0,nan,1790.0,nan,1.0,nan,2889.0,nan,0.8065074225450941,nan,0.11166253101736973,nan,0.995575221238938,nan,0.6174396238512503,nan,0.20080321285140562,nan,0.917336829781721,nan,0.36376368695068834,nan,1790.0,nan,0.11162636355401058,nan,0.5475273132324219,nan,1172897.0,nan
arm0,b2,5,p=0.5,0.5,nan,485.6,14.402777509911065,717.6,1401.7203144707578,12.4,14.402777509911065,40580.4,1401.7203144707578,0.9788621287416118,0.018315562050645707,0.7982766267471374,0.3377898290950395,0.9751004016064257,0.02892123997974111,0.9826238558767979,0.033941602849308854,0.8184676039967421,0.299797437085179,0.99728260711012,0.0009377034540180219,0.9792558947743505,0.026924562790110903,717.6,1401.7203144707578,0.11717098981572723,0.00251661875936279,4.897278690338135,0.1051845976663271,1172897.0,0.0
arm0,b3,1,p=0.5,0.5,nan,1767.0,nan,1137.0,nan,41.0,nan,45196.0,nan,0.9763916319796533,nan,0.6084710743801653,nan,0.9773230088495575,nan,0.975460255109749,nan,0.75,nan,0.9929971881124504,nan,0.9075976249185147,nan,1137.0,nan,0.11880019771867294,nan,5.719160318374634,nan,1172897.0,nan
arm0,b4,5,p=0.5,0.5,nan,144.6,33.368248380758615,93.8,63.00285707807227,32.4,33.368248380758615,31796.2,63.00285707807227,0.9070038958070912,0.09355676490312126,0.6635918384548534,0.15127393897068797,0.816949152542373,0.18852117729242157,0.9970586390718094,0.001975630513580167,0.694039114853338,0.0788945475735915,0.989186663902929,0.005801548022601605,0.8513939596589873,0.044811916785550056,93.8,63.00285707807227,0.11730221452646694,0.0008602013599326348,3.761530113220215,0.027584077008959807,1172897.0,0.0
arm0,b5,5,p=0.5,0.5,nan,37.0,1.2649110640673518,39.6,10.131140113531153,4.0,1.2649110640673518,19287.4,10.131140113531153,0.9501950386606882,0.015313025722394971,0.49344292694883923,0.07614036749625548,0.902439024390244,0.030851489367496376,0.9979510529311325,0.0005241962080783958,0.6341009358302341,0.05637388175495334,0.982222267092542,0.002870557441327928,0.7249755161743641,0.04158363500597326,39.6,10.131140113531153,0.11869019735258309,0.0003207654847468415,2.298791742324829,0.006212585908576851,1172897.0,0.0
arm0,avg,5,p=0.5,nan,nan,531.8399999999999,nan,755.6,nan,18.16,nan,27949.8,nan,0.9237920235468277,nan,0.535088999509673,nan,0.9334773617255078,nan,0.9141066853681478,nan,0.6194821735063438,nan,0.9758051111999524,nan,0.765397336495381,nan,755.6,nan,0.11671799259349216,nan,3.4448576354980474,nan,1172897.0,nan
arm0,b1,1,val-Youden,0.5016333998748503,nan,225.0,nan,1790.0,nan,1.0,nan,2889.0,nan,0.8065074225450941,nan,0.11166253101736973,nan,0.995575221238938,nan,0.6174396238512503,nan,0.20080321285140562,nan,0.917336829781721,nan,0.36376368695068834,nan,1790.0,nan,0.11162636355401058,nan,0.5475273132324219,nan,1172897.0,nan
arm0,b2,5,val-Youden,0.5152993316041414,nan,492.2,1.6,111.2,158.8866262465158,5.8,1.6,41186.8,158.8866262465158,0.9928303946572283,0.0015808781140740323,0.8591428493124773,0.16440862136382253,0.9883534136546185,0.0032128514056224827,0.9973073756598382,0.003847320118323298,0.9094002030098711,0.1077385566358711,0.99728260711012,0.0009377034540180219,0.9792558947743505,0.026924562790110903,111.2,158.8866262465158,0.11717098981572723,0.00251661875936279,4.897278690338135,0.1051845976663271,1172897.0,0.0
arm0,b3,1,val-Youden,0.38583771103086933,nan,1769.0,nan,1488.0,nan,39.0,nan,44845.0,nan,0.9731569322902749,nan,0.5431378569235493,nan,0.978429203539823,nan,0.9678846610407269,nan,0.6985192497532083,nan,0.9929971881124504,nan,0.9075976249185147,nan,1488.0,nan,0.11880019771867294,nan,5.719160318374634,nan,1172897.0,nan
arm0,b4,5,val-Youden,0.2139112062025572,nan,169.4,3.0066592756745814,670.2,343.6279383286522,7.6,3.006659275674582,31219.8,343.6279383286522,0.9680230772092628,0.004168232774264613,0.24302636819125842,0.10635979296858192,0.9570621468926553,0.01698677556878294,0.9789840075258702,0.010775413556872103,0.37515227398586104,0.12760251655416263,0.989186663902929,0.005801548022601605,0.8513939596589873,0.044811916785550056,670.2,343.6279383286522,0.11730221452646694,0.0008602013599326348,3.761530113220215,0.027584077008959807,1172897.0,0.0
